Review text,Cleaned_Review,Processed_Review,Ratings,Sentiment,Sentiment_Label
NicREAD MORE,nic,nic,4,Positive,1
Best nylon shuttle for outdoor and indoor..READ MORE,best nylon shuttle for outdoor and indoor,best nylon shuttle outdoor indoor,5,Positive,1
Perfect 3day usage of each one.Worth purchase 👌👍😊READ MORE,perfect day usage of each oneworth purchase,perfect day usage oneworth purchase,5,Positive,1
Very worth it product and value for moneyREAD MORE,very worth it product and value for money,worth product value money,5,Positive,1
It's perfectly pure on qualityREAD MORE,its perfectly pure on quality,perfectly pure quality,5,Positive,1
Nice pack... Go for it... Value for money...  Thnks flipkart..READ MORE,nice pack go for it value for money thnks flipkart,nice pack go value money thnks flipkart,5,Positive,1
Fast delivery best qualityREAD MORE,fast delivery best quality,fast delivery best quality,1,Negative,0
thank you flipkart for a quality product and standard delivery...READ MORE,thank you flipkart for a quality product and standard delivery,thank flipkart quality product standard delivery,5,Positive,1
Quality doesn't missed anywhereREAD MORE,quality doesnt missed anywhere,quality doesnt missed anywhere,5,Positive,1
thisbis very good product but price is to much price will be 800READ MORE,thisbis very good product but price is to much price will be,thisbis good product price much price,5,Positive,1
classic chumma chiseledREAD MORE,classic chumma chiseled,classic chumma chiseled,5,Positive,1
Product was too bad and quality not good as expected.. Earlier we bought same product and used each shuttle for a week.. This product not sure why it got damaged with in a day.. please check and do the needful ASAPREAD MORE,product was too bad and quality not good as expected earlier we bought same product and used each shuttle for a week this product not sure why it got damaged with in a day please check and do the needful asap,product bad quality good expected earlier bought product used shuttle week product sure got damaged day please check needful asap,1,Negative,0
"No shuttlecocks can compete this one, in terms of flight, durability, exactness, well balanced!READ MORE",no shuttlecocks can compete this one in terms of flight durability exactness well balanced,shuttlecock compete one term flight durability exactness well balanced,5,Positive,1
Firstly  Yonex is best company  for badminton and this shuttle is better than Yonex 250READ MORE,firstly yonex is best company for badminton and this shuttle is better than yonex,firstly yonex best company badminton shuttle better yonex,5,Positive,1
"Very good product,thank you flipkartREAD MORE",very good productthank you flipkart,good productthank flipkart,5,Positive,1
UnbeatableREAD MORE,unbeatable,unbeatable,4,Positive,1
Timed delivery. SatisfyingREAD MORE,timed delivery satisfying,timed delivery satisfying,4,Positive,1
"If Price would be around 850, then it's betterREAD MORE",if price would be around then its better,price would around better,4,Positive,1
Ok fineREAD MORE,ok fine,ok fine,5,Positive,1
Nice shuttles. Played 9 games so far without baby damage to the shuttles. It will last another 8-9 gamesREAD MORE,nice shuttles played games so far without baby damage to the shuttles it will last another games,nice shuttle played game far without baby damage shuttle last another game,5,Positive,1
I am well satisfied.I am very greatful to flipkart.Hope that in future order also you will deliver me the right goods.ThankuREAD MORE,i am well satisfiedi am very greatful to flipkarthope that in future order also you will deliver me the right goodsthanku,well satisfiedi greatful flipkarthope future order also deliver right goodsthanku,5,Positive,1
Its original product. You are not going to waste your money. Feel free to buy 😄.READ MORE,its original product you are not going to waste your money feel free to buy,original product going waste money feel free buy,5,Positive,1
Best in seeREAD MORE,best in see,best see,5,Positive,1
2 shuttles missingREAD MORE,shuttles missing,shuttle missing,1,Negative,0
Quality - excellentREAD MORE,quality excellent,quality excellent,5,Positive,1
Nyc productREAD MORE,nyc product,nyc product,5,Positive,1
"Nothing much to tellAlways best product for badminton ,READ MORE",nothing much to tellalways best product for badminton,nothing much tellalways best product badminton,1,Negative,0
ORGREAD MORE,org,org,4,Positive,1
I was so happy 😁😁.It is very good product in Yonex Mavis 350 nylon shuttle.READ MORE,i was so happy it is very good product in yonex mavis nylon shuttle,happy good product yonex mavis nylon shuttle,5,Positive,1
CoolREAD MORE,cool,cool,5,Positive,1
Good shuttle for defensive play Better for intermediate playersBeginner is mavis 10 bestREAD MORE,good shuttle for defensive play better for intermediate playersbeginner is mavis best,good shuttle defensive play better intermediate playersbeginner mavis best,5,Positive,1
Although genuine product but durability is very lessREAD MORE,although genuine product but durability is very less,although genuine product durability less,4,Positive,1
nice product and durableREAD MORE,nice product and durable,nice product durable,5,Positive,1
Nice product but delivery is very delayREAD MORE,nice product but delivery is very delay,nice product delivery delay,5,Positive,1
It is a waste product and I suggest the people to not bay from FlipkartREAD MORE,it is a waste product and i suggest the people to not bay from flipkart,waste product suggest people bay flipkart,1,Negative,0
Used productsREAD MORE,used products,used product,1,Negative,0
Good and best productREAD MORE,good and best product,good best product,5,Positive,1
Worst experience with this purchaseREAD MORE,worst experience with this purchase,worst experience purchase,1,Negative,0
Good product But price is on higher sideREAD MORE,good product but price is on higher side,good product price higher side,5,Positive,1
Good one... On problem for  20 to 30 days..READ MORE,good one on problem for to days,good one problem day,5,Positive,1
Best durability little slow but similar flight as feather shuttle tournament grade.READ MORE,best durability little slow but similar flight as feather shuttle tournament grade,best durability little slow similar flight feather shuttle tournament grade,5,Positive,1
As usual . Awesome and best among all the shuttles brands.READ MORE,as usual awesome and best among all the shuttles brands,usual awesome best among shuttle brand,5,Positive,1
SUPPERBREAD MORE,supperb,supperb,5,Positive,1
Great QualityREAD MORE,great quality,great quality,4,Positive,1
Nice productSafe deliveryREAD MORE,nice productsafe delivery,nice productsafe delivery,5,Positive,1
"Original product I got, happy with deliveryREAD MORE",original product i got happy with delivery,original product got happy delivery,5,Positive,1
So good 👍 service also nice 👌READ MORE,so good service also nice,good service also nice,5,Positive,1
Original shuttle. Great experienceREAD MORE,original shuttle great experience,original shuttle great experience,5,Positive,1
Original product.. very good qualityREAD MORE,original product very good quality,original product good quality,5,Positive,1
Nice service and very fast delivery and appropriate item not like other on line storesREAD MORE,nice service and very fast delivery and appropriate item not like other on line stores,nice service fast delivery appropriate item like line store,5,Positive,1
Inside the shuttle was of local brand and was abysmal in quality.READ MORE,inside the shuttle was of local brand and was abysmal in quality,inside shuttle local brand abysmal quality,1,Negative,0
Thanks🙏 nice👍READ MORE,thanks nice,thanks nice,5,Positive,1
Best shuttlecock for playing indoor as well as you can use for outdoor gaming.READ MORE,best shuttlecock for playing indoor as well as you can use for outdoor gaming,best shuttlecock playing indoor well use outdoor gaming,4,Positive,1
Got the genuine yonex productREAD MORE,got the genuine yonex product,got genuine yonex product,5,Positive,1
Good quality as expected.READ MORE,good quality as expected,good quality expected,5,Positive,1
Nice product advance deliveryREAD MORE,nice product advance delivery,nice product advance delivery,5,Positive,1
Super shuttle......very strong and slowREAD MORE,super shuttlevery strong and slow,super shuttlevery strong slow,5,Positive,1
Grt . ButPrice is increasing day by day .READ MORE,grt butprice is increasing day by day,grt butprice increasing day day,5,Positive,1
"Excellent product, worth for moneyREAD MORE",excellent product worth for money,excellent product worth money,5,Positive,1
Go for it. Very good quality.READ MORE,go for it very good quality,go good quality,5,Positive,1
Good.... Bt the price was somewhat more than that of market priceREAD MORE,good bt the price was somewhat more than that of market price,good bt price somewhat market price,5,Positive,1
Super product.. Plastic seal brokenREAD MORE,super product plastic seal broken,super product plastic seal broken,5,Positive,1
Good quality product but price has been increased a little bitREAD MORE,good quality product but price has been increased a little bit,good quality product price increased little bit,5,Positive,1
Yonex 350 coack is very good for badmintonREAD MORE,yonex coack is very good for badminton,yonex coack good badminton,5,Positive,1
Mavis 350  good productREAD MORE,mavis good product,mavis good product,5,Positive,1
A lil bit costly but DurableREAD MORE,a lil bit costly but durable,lil bit costly durable,4,Positive,1
PowerREAD MORE,power,power,1,Negative,0
AvarageREAD MORE,avarage,avarage,5,Positive,1
superbbbbbREAD MORE,superbbbbb,superbbbbb,5,Positive,1
Soo badREAD MORE,soo bad,soo bad,2,Negative,0
Original and awesomeREAD MORE,original and awesome,original awesome,5,Positive,1
Very best..best quality...READ MORE,very bestbest quality,bestbest quality,5,Positive,1
It is very good quality but the rate is little higher.READ MORE,it is very good quality but the rate is little higher,good quality rate little higher,5,Positive,1
Too much costREAD MORE,too much cost,much cost,5,Positive,1
Good product best qualityREAD MORE,good product best quality,good product best quality,5,Positive,1
Always best.READ MORE,always best,always best,5,Positive,1
Good quality shuttles for indoor play. Go for it.READ MORE,good quality shuttles for indoor play go for it,good quality shuttle indoor play go,5,Positive,1
It's good must buy it .....READ MORE,its good must buy it,good must buy,5,Positive,1
product is very niceREAD MORE,product is very nice,product nice,5,Positive,1
Shuttles box was crushed.. very badREAD MORE,shuttles box was crushed very bad,shuttle box crushed bad,1,Negative,0
Good product  love it.READ MORE,good product love it,good product love,5,Positive,1
All good but price should be lowerREAD MORE,all good but price should be lower,good price lower,4,Positive,1
Very nice shuttle And good balancing shuttleREAD MORE,very nice shuttle and good balancing shuttle,nice shuttle good balancing shuttle,4,Positive,1
Best product for beginners playing outside.READ MORE,best product for beginners playing outside,best product beginner playing outside,5,Positive,1
Very slow worstREAD MORE,very slow worst,slow worst,1,Negative,0
FireREAD MORE,fire,fire,5,Positive,1
Super Fast Delivery Un ExpectedREAD MORE,super fast delivery un expected,super fast delivery un expected,5,Positive,1
Excellent to play..READ MORE,excellent to play,excellent play,4,Positive,1
Ultimate shuttleREAD MORE,ultimate shuttle,ultimate shuttle,5,Positive,1
It's a genuine and good productREAD MORE,its a genuine and good product,genuine good product,5,Positive,1
Good product nd good pack thank flipkartREAD MORE,good product nd good pack thank flipkart,good product nd good pack thank flipkart,5,Positive,1
Very less durable... Each piece gone in three daysREAD MORE,very less durable each piece gone in three days,less durable piece gone three day,5,Positive,1
Very bad product all the corcks are ccracked one'sREAD MORE,very bad product all the corcks are ccracked ones,bad product corcks ccracked one,1,Negative,0
Original shuttle very  niceREAD MORE,original shuttle very nice,original shuttle nice,5,Positive,1
Nice but 77 gm very niceREAD MORE,nice but gm very nice,nice gm nice,4,Positive,1
Very nice.. 10/10 marks for quality and  durability..READ MORE,very nice marks for quality and durability,nice mark quality durability,5,Positive,1
GooodREAD MORE,goood,goood,5,Positive,1
Best and most consistent shuttle cork for regular players. Original product delivered. This shuttle is used in most of the junior tournaments across the world.READ MORE,best and most consistent shuttle cork for regular players original product delivered this shuttle is used in most of the junior tournaments across the world,best consistent shuttle cork regular player original product delivered shuttle used junior tournament across world,5,Positive,1
Genuine purchaseREAD MORE,genuine purchase,genuine purchase,5,Positive,1
The shuttles (green) are very fast. Not enjoying the game just little push or lift shuttles going out.READ MORE,the shuttles green are very fast not enjoying the game just little push or lift shuttles going out,shuttle green fast enjoying game little push lift shuttle going,1,Negative,0
Absolutely originalREAD MORE,absolutely original,absolutely original,5,Positive,1
VeryREAD MORE,very,,5,Positive,1
"Good quality, original.READ MORE",good quality original,good quality original,5,Positive,1
Really good quality shuttles...READ MORE,really good quality shuttles,really good quality shuttle,4,Positive,1
OutstandingREAD MORE,outstanding,outstanding,5,Positive,1
"Indies best plastic shuttle, every player like it , in lockdown price very highREAD MORE",indies best plastic shuttle every player like it in lockdown price very high,indie best plastic shuttle every player like lockdown price high,5,Positive,1
"Don't buy it, they are putting adrenex shuttles inside and there is no return policyREAD MORE",dont buy it they are putting adrenex shuttles inside and there is no return policy,dont buy putting adrenex shuttle inside return policy,1,Negative,0
Base of the shuttle is not good it was damaged.READ MORE,base of the shuttle is not good it was damaged,base shuttle good damaged,2,Negative,0
NceREAD MORE,nce,nce,5,Positive,1
Worst experienceREAD MORE,worst experience,worst experience,2,Negative,0
Am happy after use...But give same discountREAD MORE,am happy after usebut give same discount,happy usebut give discount,4,Positive,1
100%%%%% original product thanksREAD MORE,original product thanks,original product thanks,5,Positive,1
"This time around, the quality is so low that, 3 of the 6 pack didn't last an hour. Probably, 2nd quality... Nobody pays market price for 2nd QualityREAD MORE",this time around the quality is so low that of the pack didnt last an hour probably nd quality nobody pays market price for nd quality,time around quality low pack didnt last hour probably nd quality nobody pay market price nd quality,4,Positive,1
Good prREAD MORE,good pr,good pr,5,Positive,1
Quality Much difference when we buy in shop and in FlipkartREAD MORE,quality much difference when we buy in shop and in flipkart,quality much difference buy shop flipkart,2,Negative,0
Product quality is very good but price is a bit high.READ MORE,product quality is very good but price is a bit high,product quality good price bit high,4,Positive,1
Waste product. Don't buy this product. Every cork was not properly fixed.READ MORE,waste product dont buy this product every cork was not properly fixed,waste product dont buy product every cork properly fixed,1,Negative,0
Good original shuttleREAD MORE,good original shuttle,good original shuttle,5,Positive,1
Good its okREAD MORE,good its ok,good ok,1,Negative,0
Fantastic original  with Yonex hologram package fantasticREAD MORE,fantastic original with yonex hologram package fantastic,fantastic original yonex hologram package fantastic,5,Positive,1
Too costly not original shuttle rotating badlyREAD MORE,too costly not original shuttle rotating badly,costly original shuttle rotating badly,1,Negative,0
Good one.Got it on time.Thanks FlipkartREAD MORE,good onegot it on timethanks flipkart,good onegot timethanks flipkart,5,Positive,1
Product is good but price is......READ MORE,product is good but price is,product good price,5,Positive,1
Excellent condition of shuttlecocks. Timely delivery of a genuine product. Quality is assured in FLIPCART.READ MORE,excellent condition of shuttlecocks timely delivery of a genuine product quality is assured in flipcart,excellent condition shuttlecock timely delivery genuine product quality assured flipcart,5,Positive,1
Durable.READ MORE,durable,durable,5,Positive,1
Worst . Recieved damaged product. Waste of money.READ MORE,worst recieved damaged product waste of money,worst recieved damaged product waste money,1,Negative,0
Not suitable for indoor badminton or standard players. I hated it.. Iam not interest to buy this product againREAD MORE,not suitable for indoor badminton or standard players i hated it iam not interest to buy this product again,suitable indoor badminton standard player hated iam interest buy product,1,Negative,0
Good product but doubt in originalREAD MORE,good product but doubt in original,good product doubt original,4,Positive,1
"received a genuine Yonex Mavis 350 , verified the scratch codeREAD MORE",received a genuine yonex mavis verified the scratch code,received genuine yonex mavis verified scratch code,5,Positive,1
"Here it is, the perfect shuttle!READ MORE",here it is the perfect shuttle,perfect shuttle,5,Positive,1
All the shuttles in the box are quite good and long lasting.READ MORE,all the shuttles in the box are quite good and long lasting,shuttle box quite good long lasting,5,Positive,1
"I checked each piece, got the originals. Thank you seller.READ MORE",i checked each piece got the originals thank you seller,checked piece got original thank seller,5,Positive,1
Got defected piecesREAD MORE,got defected pieces,got defected piece,2,Negative,0
Not good one don't bayREAD MORE,not good one dont bay,good one dont bay,1,Negative,0
Good as always but getting expensive on every purchase .READ MORE,good as always but getting expensive on every purchase,good always getting expensive every purchase,5,Positive,1
I have received package with good condition but 3shuttles is not goodREAD MORE,i have received package with good condition but shuttles is not good,received package good condition shuttle good,2,Negative,0
Flipkart assured is really good.READ MORE,flipkart assured is really good,flipkart assured really good,4,Positive,1
Wonderful shuttles. We can play in indoor and outdoor also.READ MORE,wonderful shuttles we can play in indoor and outdoor also,wonderful shuttle play indoor outdoor also,5,Positive,1
Good qualytiREAD MORE,good qualyti,good qualyti,5,Positive,1
To much costlyREAD MORE,to much costly,much costly,4,Positive,1
Cheaf quality..READ MORE,cheaf quality,cheaf quality,5,Positive,1
Good prdt got at 793READ MORE,good prdt got at,good prdt got,4,Positive,1
As expectedREAD MORE,as expected,expected,5,Positive,1
I used to order it many times but this time the quality is not good..READ MORE,i used to order it many times but this time the quality is not good,used order many time time quality good,4,Positive,1
Rate is very highREAD MORE,rate is very high,rate high,5,Positive,1
A very nice product. Everybody can buy.READ MORE,a very nice product everybody can buy,nice product everybody buy,5,Positive,1
It was good for the game..READ MORE,it was good for the game,good game,4,Positive,1
"Good product , genuine 100%READ MORE",good product genuine,good product genuine,5,Positive,1
LooseREAD MORE,loose,loose,2,Negative,0
"The shuttle is really good, I and my friends are playing by hitting it very hard smashes everyday, so the shuttle life for me is 3 to 4 weeks. Buy it.READ MORE",the shuttle is really good i and my friends are playing by hitting it very hard smashes everyday so the shuttle life for me is to weeks buy it,shuttle really good friend playing hitting hard smash everyday shuttle life week buy,5,Positive,1
Product quality was nice but delivery delay was absolutely disgusting🤢🤢🤢🤢READ MORE,product quality was nice but delivery delay was absolutely disgusting,product quality nice delivery delay absolutely disgusting,4,Positive,1
Nice Flipkart 🥰READ MORE,nice flipkart,nice flipkart,5,Positive,1
Totally waste of money. Poor quality shuttle. Very slow moving. We can't even play single game with one shuttleREAD MORE,totally waste of money poor quality shuttle very slow moving we cant even play single game with one shuttle,totally waste money poor quality shuttle slow moving cant even play single game one shuttle,1,Negative,0
Same as storeREAD MORE,same as store,store,5,Positive,1
"Worth the money, good qualityREAD MORE",worth the money good quality,worth money good quality,5,Positive,1
Durability is superREAD MORE,durability is super,durability super,5,Positive,1
Good original speed and qualityREAD MORE,good original speed and quality,good original speed quality,5,Positive,1
"Very good quality, reasonable price and fast delivery.READ MORE",very good quality reasonable price and fast delivery,good quality reasonable price fast delivery,5,Positive,1
Liked it very muchREAD MORE,liked it very much,liked much,5,Positive,1
Super but rate is very highREAD MORE,super but rate is very high,super rate high,5,Positive,1
Good and sooper.READ MORE,good and sooper,good sooper,5,Positive,1
Worth of Money.. We are always flipkart family...thank uREAD MORE,worth of money we are always flipkart familythank u,worth money always flipkart familythank u,5,Positive,1
Original Quality. One shuttle last for atleast 9 sets if you are of an Intermediate level.READ MORE,original quality one shuttle last for atleast sets if you are of an intermediate level,original quality one shuttle last atleast set intermediate level,5,Positive,1
Very bad qualityShuttle life is very badREAD MORE,very bad qualityshuttle life is very bad,bad qualityshuttle life bad,1,Negative,0
"I've been delivered with original and sealed,they are awesomeREAD MORE",ive been delivered with original and sealedthey are awesome,ive delivered original sealedthey awesome,5,Positive,1
One out of six is so speed. Others are very suit to indoor.READ MORE,one out of six is so speed others are very suit to indoor,one six speed others suit indoor,5,Positive,1
Good qwalityREAD MORE,good qwality,good qwality,4,Positive,1
Good quality  👍Genuine product from yonex 👍READ MORE,good quality genuine product from yonex,good quality genuine product yonex,4,Positive,1
It is very good it has came with excellent packagingREAD MORE,it is very good it has came with excellent packaging,good came excellent packaging,5,Positive,1
Nice product but slow deliveredREAD MORE,nice product but slow delivered,nice product slow delivered,5,Positive,1
Great shuttle for practice...... Lasting for 5 to 6 sets (heavy play)READ MORE,great shuttle for practice lasting for to sets heavy play,great shuttle practice lasting set heavy play,5,Positive,1
Original shuttle.. timely deliveryREAD MORE,original shuttle timely delivery,original shuttle timely delivery,5,Positive,1
Best king of king ShuttlecockREAD MORE,best king of king shuttlecock,best king king shuttlecock,5,Positive,1
Bad quality. Suggested to low level playersREAD MORE,bad quality suggested to low level players,bad quality suggested low level player,2,Negative,0
Products delivered are good and within the time.Thank you FlipcartREAD MORE,products delivered are good and within the timethank you flipcart,product delivered good within timethank flipcart,5,Positive,1
I felt it authenticREAD MORE,i felt it authentic,felt authentic,5,Positive,1
Brand remain same. But awesome Delivery scheduleREAD MORE,brand remain same but awesome delivery schedule,brand remain awesome delivery schedule,5,Positive,1
Poor quality shuttle head comes out easily.hopeless product very disappointingREAD MORE,poor quality shuttle head comes out easilyhopeless product very disappointing,poor quality shuttle head come easilyhopeless product disappointing,1,Negative,0
Amazing genuine product at best price...go ahead without any further thought.READ MORE,amazing genuine product at best pricego ahead without any further thought,amazing genuine product best pricego ahead without thought,5,Positive,1
Nice product ND nce deliveryREAD MORE,nice product nd nce delivery,nice product nd nce delivery,5,Positive,1
"While playing, going like a rocket speed to out of the  ground... speed of the cork is too high....READ MORE",while playing going like a rocket speed to out of the ground speed of the cork is too high,playing going like rocket speed ground speed cork high,2,Negative,0
200 is almost same.READ MORE,is almost same,almost,5,Positive,1
Shuttles are not in good condition. Even after one game shuttle start to wobble and it doesn’t feel like mavis 350. Feels like a cheap knockoff of the yonexREAD MORE,shuttles are not in good condition even after one game shuttle start to wobble and it doesnt feel like mavis feels like a cheap knockoff of the yonex,shuttle good condition even one game shuttle start wobble doesnt feel like mavis feel like cheap knockoff yonex,1,Negative,0
Quality  was  very bad thos time .shuttle became  useless with in an hour.very bad  all shuttles separated.  Never expected  from flipkartREAD MORE,quality was very bad thos time shuttle became useless with in an hourvery bad all shuttles separated never expected from flipkart,quality bad tho time shuttle became useless hourvery bad shuttle separated never expected flipkart,1,Negative,0
Excellent quality shuttleREAD MORE,excellent quality shuttle,excellent quality shuttle,5,Positive,1
Product packing was goodREAD MORE,product packing was good,product packing good,5,Positive,1
Some shuttle having unbalanced flightRest goodREAD MORE,some shuttle having unbalanced flightrest good,shuttle unbalanced flightrest good,4,Positive,1
Shuttles are good but easily gets worn out after 5 games.READ MORE,shuttles are good but easily gets worn out after games,shuttle good easily get worn game,4,Positive,1
"Good and original ones....can understand the higher price due to the current demand. But, the price is still less compared to retail outlets in the cityREAD MORE",good and original onescan understand the higher price due to the current demand but the price is still less compared to retail outlets in the city,good original onescan understand higher price due current demand price still less compared retail outlet city,5,Positive,1
Worst shuttles.. Started wobbling in first game itself..  DO NOT BUYREAD MORE,worst shuttles started wobbling in first game itself do not buy,worst shuttle started wobbling first game buy,1,Negative,0
Amazing product❤ Fully satisfied! I love you flipkart marry me🙆🏻‍♂️READ MORE,amazing product fully satisfied i love you flipkart marry me,amazing product fully satisfied love flipkart marry,5,Positive,1
"Slow shuttle ,old material Only for kidsREAD MORE",slow shuttle old material only for kids,slow shuttle old material kid,1,Negative,0
Good shuttle for outdoor long lastingREAD MORE,good shuttle for outdoor long lasting,good shuttle outdoor long lasting,4,Positive,1
Superb fresh article.READ MORE,superb fresh article,superb fresh article,5,Positive,1
Really good product. Yes really 350 nylon shuttleREAD MORE,really good product yes really nylon shuttle,really good product yes really nylon shuttle,5,Positive,1
It's original oneREAD MORE,its original one,original one,5,Positive,1
Fast Delivery ThankQ..READ MORE,fast delivery thankq,fast delivery thankq,5,Positive,1
Received good quality productREAD MORE,received good quality product,received good quality product,5,Positive,1
"Great experience with this product , WorthyREAD MORE",great experience with this product worthy,great experience product worthy,5,Positive,1
Very nice it withstands so long compared to Mavis 10 or mavis 200i. Anyone can choose this one for long durability.READ MORE,very nice it withstands so long compared to mavis or mavis i anyone can choose this one for long durability,nice withstands long compared mavis mavis anyone choose one long durability,4,Positive,1
All the shuttle were defectiveREAD MORE,all the shuttle were defective,shuttle defective,2,Negative,0
Delivery boy good workREAD MORE,delivery boy good work,delivery boy good work,5,Positive,1
Original for sure!!READ MORE,original for sure,original sure,5,Positive,1
Good packing and quick delivery from flipkart. Drawbacks are price is high.READ MORE,good packing and quick delivery from flipkart drawbacks are price is high,good packing quick delivery flipkart drawback price high,4,Positive,1
Original Mavis 350 shuttle with nice packing and quick delivery.READ MORE,original mavis shuttle with nice packing and quick delivery,original mavis shuttle nice packing quick delivery,5,Positive,1
Nice ... completely genuine 👍👌🙂READ MORE,nice completely genuine,nice completely genuine,5,Positive,1
Superb quality. super fast deliveryREAD MORE,superb quality super fast delivery,superb quality super fast delivery,5,Positive,1
Prompt delivery. Product is good.READ MORE,prompt delivery product is good,prompt delivery product good,5,Positive,1
good qltyREAD MORE,good qlty,good qlty,5,Positive,1
Bad Shuttle and bad quality....it is for kids onlyREAD MORE,bad shuttle and bad qualityit is for kids only,bad shuttle bad qualityit kid,1,Negative,0
Good one reached in timeREAD MORE,good one reached in time,good one reached time,5,Positive,1
Thank you for Timely delivered. Item was in good conditions.READ MORE,thank you for timely delivered item was in good conditions,thank timely delivered item good condition,5,Positive,1
I like this seller he given best priceREAD MORE,i like this seller he given best price,like seller given best price,5,Positive,1
good and fast serviceREAD MORE,good and fast service,good fast service,5,Positive,1
Vry nice product... Lov itREAD MORE,vry nice product lov it,vry nice product lov,5,Positive,1
Super 360 is great👍👍👍👍READ MORE,super is great,super great,5,Positive,1
Very nice and durable shuttle I have come acrossREAD MORE,very nice and durable shuttle i have come across,nice durable shuttle come across,5,Positive,1
The product is original and packing was good. But yonex shuttle have become expensiveREAD MORE,the product is original and packing was good but yonex shuttle have become expensive,product original packing good yonex shuttle become expensive,5,Positive,1
Worst product i received...damaged in one game and received horrible oneREAD MORE,worst product i receiveddamaged in one game and received horrible one,worst product receiveddamaged one game received horrible one,2,Negative,0
Nice but slowREAD MORE,nice but slow,nice slow,5,Positive,1
Its value for money and most importantly it's originalREAD MORE,its value for money and most importantly its original,value money importantly original,5,Positive,1
AwwssmmREAD MORE,awwssmm,awwssmm,4,Positive,1
Very bad quality.it is not look like as brandedREAD MORE,very bad qualityit is not look like as branded,bad qualityit look like branded,1,Negative,0
Good Quality of shuttles and quick delivery by Flipkart delivery boy.READ MORE,good quality of shuttles and quick delivery by flipkart delivery boy,good quality shuttle quick delivery flipkart delivery boy,5,Positive,1
"This is the second box I have received, they are not long lasting if you are getting this in 900 rs range.just check the mfg date before purchasing.not sure about the quality.Durability of the original ones are better than what I have received.READ MORE",this is the second box i have received they are not long lasting if you are getting this in rs rangejust check the mfg date before purchasingnot sure about the qualitydurability of the original ones are better than what i have received,second box received long lasting getting r rangejust check mfg date purchasingnot sure qualitydurability original one better received,4,Positive,1
"Local brand, shuttle got damaged in two days all 6 piecesREAD MORE",local brand shuttle got damaged in two days all pieces,local brand shuttle got damaged two day piece,2,Negative,0
Delivered in time. Good packing.READ MORE,delivered in time good packing,delivered time good packing,5,Positive,1
Amazing product by flipkart 👍😊😊READ MORE,amazing product by flipkart,amazing product flipkart,4,Positive,1
Few shuttles have stain in shuttle head..READ MORE,few shuttles have stain in shuttle head,shuttle stain shuttle head,5,Positive,1
SupwrREAD MORE,supwr,supwr,5,Positive,1
Excellent performanceREAD MORE,excellent performance,excellent performance,4,Positive,1
Good Mavis 350READ MORE,good mavis,good mavis,4,Positive,1
Good products original shuttleREAD MORE,good products original shuttle,good product original shuttle,5,Positive,1
Its the original produt im getting at good prices compared to offline storesREAD MORE,its the original produt im getting at good prices compared to offline stores,original produt im getting good price compared offline store,4,Positive,1
Recieved  Original product...READ MORE,recieved original product,recieved original product,5,Positive,1
Deliever fast.READ MORE,deliever fast,deliever fast,4,Positive,1
This product is very attractive and amazingREAD MORE,this product is very attractive and amazing,product attractive amazing,5,Positive,1
Shuttle is very slow compared to white mavis 350READ MORE,shuttle is very slow compared to white mavis,shuttle slow compared white mavis,1,Negative,0
Best shuttlecock at best priceREAD MORE,best shuttlecock at best price,best shuttlecock best price,5,Positive,1
Original product . We want many more so please maintain the qualityREAD MORE,original product we want many more so please maintain the quality,original product want many please maintain quality,5,Positive,1
Gd.productREAD MORE,gdproduct,gdproduct,5,Positive,1
Product was delivered in good conditionREAD MORE,product was delivered in good condition,product delivered good condition,5,Positive,1
AssumeREAD MORE,assume,assume,5,Positive,1
See the quality is good but the price has become too high so i gave 1 starREAD MORE,see the quality is good but the price has become too high so i gave star,see quality good price become high gave star,1,Negative,0
4 damage pieceREAD MORE,damage piece,damage piece,1,Negative,0
Not get right boxREAD MORE,not get right box,get right box,5,Positive,1
Quality is perfect as mentionedREAD MORE,quality is perfect as mentioned,quality perfect mentioned,4,Positive,1
Really good. ThanksREAD MORE,really good thanks,really good thanks,5,Positive,1
Good & fresh shuttleREAD MORE,good fresh shuttle,good fresh shuttle,5,Positive,1
Very durble shuttle...READ MORE,very durble shuttle,durble shuttle,4,Positive,1
I love the shuttles... it was really good and durable...READ MORE,i love the shuttles it was really good and durable,love shuttle really good durable,5,Positive,1
Very nice plz maintain 899 price thankyouREAD MORE,very nice plz maintain price thankyou,nice plz maintain price thankyou,4,Positive,1
Very good item are received Happy for thatREAD MORE,very good item are received happy for that,good item received happy,5,Positive,1
ThanksREAD MORE,thanks,thanks,5,Positive,1
Shuttle quality is good but packing is not goodREAD MORE,shuttle quality is good but packing is not good,shuttle quality good packing good,4,Positive,1
Thanks for quick deliveryOriginal productREAD MORE,thanks for quick deliveryoriginal product,thanks quick deliveryoriginal product,5,Positive,1
Good purchase. Genuine product. Fast delivery. Thank youREAD MORE,good purchase genuine product fast delivery thank you,good purchase genuine product fast delivery thank,5,Positive,1
"Not durable,broken easily and not cost effectiveREAD MORE",not durablebroken easily and not cost effective,durablebroken easily cost effective,2,Negative,0
"Not durable, 1 shuttle lost every 8 matches.Edge gets cut. Base is also cutting 🥺🥺READ MORE",not durable shuttle lost every matchesedge gets cut base is also cutting,durable shuttle lost every matchesedge get cut base also cutting,1,Negative,0
